pathway	pval	padj	log2err	ES	NES	size	leadingEdge	signedlogp	NAME
GOBP_DNA_REPLICATION	1.00557219902589e-15	2.73979748380746e-13	1.01754479730988	0.501332947651922	2.33226498280642	266	EGFR,MCM8,SENP2,SDE2,CCNE2,EGF,CDC6,TOPBP1,MMS22L,ORC1,CHAF1B,MCM4,POLE,TIMELESS,KAT7,POLQ,RRM2,DHX9,RFWD3,GINS4,DTL,GTPBP4,MCM10,PDS5A,ATAD5,EREG,RFC3,RFC1,RFC5,E2F7,ZGRF1,SMARCA5,UCHL5,ORC3,RRM2B,NBN,BRPF3,DONSON,RNASEH1,BRCA2,ESCO2,CCNE1,MCM2,SUPT16H,BOD1L1,MCM9,RMI1,RBBP6,CCNA2,WIZ,DDX21,CHEK1,TICRR,PCNA,YY1,LIG4,SMC3,REV3L,JADE3,RECQL,MCIDAS,DBF4,ANKRD17,ATR,MCMBP,ORC6,CDK2,ACTL6A,LPIN1,ZMPSTE24,ZBTB38,GINS1,TTF1,REV1,RRM1,USP37,POLH,SRPK2,DSCC1,POLD3,FAF1,WDHD1,E2F8,CHAF1A,SLX4,TONSL,DNA2,DNAJA3,MEAF6,TNFAIP1,GEN1,CIZ1,FANCM,INO80,ATF1,RAD51,DBF4B,CHRAC1,FBXO5,DDX11,ATRX,IGHMBP2,TERF1,WRN,CDC7,OOEP,ETAA1,DDX23,RECQL4,NFRKB,POLE2,FAM111B,CDC45,EXD2,POLA1	14.9975867420609	GOBP_DNA_REPLICATION
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	1.15775982149757e-15	2.92913234838886e-13	1.01754479730988	0.511509015344886	2.2951830484562	245	KIF23,LATS1,CCNE2,TUBG1,CDC6,SMC5,TTK,INCENP,ZNF207,CDC27,TPR,NCAPD3,PDS5A,SMC4,NCAPH,BAZ1B,CDCA8,NCAPG2,RAD21,SMARCA5,MAD2L1,KIF14,KNTC1,BRIP1,CHMP4C,FANCD2,NEK2,ESCO2,CCNE1,PRC1,SYCP2,NUF2,APC,DYNC1H1,SUN1,CENPF,ZWILCH,ECT2,PDCD6IP,BUB1B,NIPBL,RMI1,VPS4B,CHAMP1,CENPC,TRIP13,KIF18B,BUB1,FAM83D,SMC3,SMC2,SMC1A,SPICE1,NUSAP1,KPNB1,CHMP2B,KIF18A,KIF4A,MCMBP,KIF4B,CENPE,CEP55,ANAPC1,CDCA5,SPAG5,TOP2A,TEX12,ACTR2,MAP10,DSCC1,CDC23,CENPK,NCAPD2,TOP2B,AKAP8,SLX4,STAG2,DLGAP5,ERCC4,NDC1,GEN1,CDC20,ESPL1,KIF2C,FANCM,PLK1,INO80,STAG1,CHFR,SMC1B,SPDL1,SFPQ,ZWINT,HNRNPU,TUBG2,EML4,ZW10,NAA50,FBXO5,XRCC3,DDX11,ATRX,BECN1,KNSTRN,TERF1,NDC80	14.9363815261154	GOBP_NUCLEAR_CHROMOSOME_SEGREGATION
GOBP_DNA_CONFORMATION_CHANGE	8.11930784385645e-15	1.79741177393372e-12	0.986546283587582	0.496349938093876	2.23850659602105	249	MCM8,LIN54,CHD8,SPTY2D1,CHAF1B,MCM4,SMC5,ASCC3,PIK3CA,SHPRH,POLQ,DHX9,CHD4,GINS4,TPR,DNMT1,NCAPD3,SMC4,NCAPH,RFC3,BAZ1B,TSPYL4,NCAPG2,KAT6A,RFC5,NAP1L2,SMARCA5,PSME4,NBN,DHX36,BAZ2A,BRIP1,MCM2,TSPYL1,MCM9,SETX,ZDBF2,RIF1,UBN1,SMCHD1,SMC2,RECQL,BAHD1,NUSAP1,RAD54L2,KMT2D,ERCC3,CDK2,RAD54L,EZH2,DDX1,GINS1,CDCA5,TOP2A,HJURP,PHF8,CHD2,DSCC1,HELLS,CTR9,NCAPD2,TOP2B,AKAP8,CHAF1A,HP1BP3,DNA2,PHF2,ACIN1,ERCC6L,KAT6B,ANXA1,FANCM,PLK1,SRPK1,RSF1,DDX3X,RAD51,UBN2,SETSIP,PPM1D,CHRAC1,NPM1,UBR2,TOP3A,NAV2,DDX11,ATRX,SCMH1,IGHMBP2,WRN,RECQL4,ZNFX1,CDC45,IPO4,SUV39H1,ASF1A,SMARCAD1,RAD54B,AXIN1,RAD50,BLM,MCM3,TOP1,CHTF18,SIN3A,HDAC1,PPHLN1,DNAJC9,G3BP1,ASF1B,OIP5,ATF7IP,NCAPG,CHD6,CHD7	14.0904809919911	GOBP_DNA_CONFORMATION_CHANGE
GOCC_SPINDLE_POLE	1.79289489712081e-14	3.84874771248601e-12	0.97599468306432	0.574478585937081	2.41865433807269	156	PLK2,LATS1,LATS2,PLEKHG6,TUBG1,CDC6,TOPBP1,TPX2,WDR62,CKAP2,PLK4,AUNIP,GPSM2,CDC14B,CKAP5,ASPM,BIRC6,CEP104,RAD21,MAD2L1,KNTC1,CKAP2L,EML1,NEK2,PRC1,BOD1L1,CENPF,NEDD1,VPS4B,ALMS1,SBDS,FAM83D,SMC3,KATNBL1,SMC1A,TUBGCP5,GOLGA2,TOPORS,KIF2A,SPAG5,CEP85,KIF20B,MAP10,NEK7,AURKA,KIF11,STAG2,DLGAP5,CDC20,TUBGCP3,ODF2,PLK1,FAM161A,STAG1,SPDL1,CDC25B,HNRNPU,ZW10,SMC6,TUBGCP4,NPM1,NIN,TMEM201,DDX11,DYNC1I1,KNSTRN	13.746445168853	GOCC_SPINDLE_POLE
GOMF_HELICASE_ACTIVITY	2.37952843243217e-14	4.75242285354883e-12	0.97599468306432	0.582609403561597	2.42178246088356	148	MCM8,HELZ,CHD8,MCM4,ASCC3,SNRNP200,SHPRH,POLQ,DHX9,CHD4,DHX15,TTF2,DDX52,RFC3,DHX8,DDX5,RFC5,SRCAP,ZGRF1,SMARCA5,AQR,DHX36,BRIP1,EP400,MCM2,MCM9,SETX,DHX29,DDX21,HLTF,RECQL,DDX47,RAD54L2,DHX33,ERCC3,DDX59,RAD54L,DDX1,CHD2,DSCC1,HELLS,DDX42,DNA2,DHX57,ERCC6L,HELZ2,EIF4A2,DICER1,FANCM,DDX3X,RAD51,ERCC6L2,DHX37,DHX32,DDX46,SMARCA4,NAV2,DDX11,ATRX,DHX40,IGHMBP2,WRN,DDX23,RECQL4,ZNFX1,SMARCAD1,RAD54B,YTHDC2,RAD50,DDX55,BLM,MCM3,BTAF1,CHTF18,DDX20,G3BP1,DHX35,DDX60,IFIH1,CHD6,CHD7,DDX31	13.6235091015504	GOMF_HELICASE_ACTIVITY
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	3.5709385839424e-14	6.48628946888409e-12	0.965327754226083	0.568878229122424	2.40495838888805	160	KIF23,TUBG1,CDC6,SMC5,TTK,ZNF207,CDC27,TPR,NCAPD3,PDS5A,SMC4,NCAPH,BAZ1B,CDCA8,NCAPG2,RAD21,SMARCA5,MAD2L1,KIF14,KNTC1,CHMP4C,NEK2,PRC1,NUF2,APC,CENPF,ZWILCH,PDCD6IP,BUB1B,NIPBL,VPS4B,CHAMP1,CENPC,TRIP13,KIF18B,BUB1,SMC3,SMC2,SMC1A,NUSAP1,KPNB1,CHMP2B,KIF18A,KIF4A,KIF4B,CENPE,CEP55,ANAPC1,CDCA5,SPAG5,MAP10,DSCC1,CDC23,CENPK,NCAPD2,AKAP8,DLGAP5,GEN1,CDC20,ESPL1,KIF2C,PLK1,INO80,SMC1B,SPDL1,ZWINT,HNRNPU,TUBG2,EML4,ZW10,NAA50,FBXO5,XRCC3,ATRX,BECN1,KNSTRN,NDC80	13.4472176191111	GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION
GOBP_SISTER_CHROMATID_SEGREGATION	4.17450735795125e-14	7.2127341765187e-12	0.965327754226083	0.541804098609877	2.34543935506649	184	KIF23,LATS1,TUBG1,CDC6,SMC5,TTK,ZNF207,CDC27,TPR,NCAPD3,PDS5A,SMC4,NCAPH,BAZ1B,CDCA8,NCAPG2,RAD21,SMARCA5,MAD2L1,KIF14,KNTC1,CHMP4C,NEK2,ESCO2,PRC1,NUF2,APC,CENPF,ZWILCH,PDCD6IP,BUB1B,NIPBL,VPS4B,CHAMP1,CENPC,TRIP13,KIF18B,BUB1,SMC3,SMC2,SMC1A,NUSAP1,KPNB1,CHMP2B,KIF18A,KIF4A,MCMBP,KIF4B,CENPE,CEP55,ANAPC1,CDCA5,SPAG5,TOP2A,MAP10,DSCC1,CDC23,CENPK,NCAPD2,TOP2B,AKAP8,STAG2,DLGAP5,GEN1,CDC20,ESPL1,KIF2C,PLK1,INO80,STAG1,CHFR,SMC1B,SPDL1,SFPQ,ZWINT,HNRNPU,TUBG2,EML4,ZW10,NAA50,FBXO5,XRCC3,DDX11,ATRX,BECN1,KNSTRN,NDC80	13.3793947691258	GOBP_SISTER_CHROMATID_SEGREGATION
GOBP_DNA_DEPENDENT_DNA_REPLICATION	1.02049404091058e-13	1.60648439684678e-11	0.954541630725724	0.574681367074585	2.4270532273536	152	SENP2,CCNE2,CDC6,TOPBP1,MMS22L,ORC1,MCM4,POLE,TIMELESS,KAT7,POLQ,RFWD3,GINS4,MCM10,ATAD5,RFC3,RFC1,RFC5,E2F7,ZGRF1,ORC3,RRM2B,NBN,DONSON,BRCA2,CCNE1,MCM2,BOD1L1,MCM9,WIZ,DDX21,TICRR,PCNA,REV3L,RECQL,MCIDAS,DBF4,ATR,MCMBP,ORC6,CDK2,ZMPSTE24,GINS1,RRM1,SRPK2,DSCC1,POLD3,WDHD1,E2F8,TONSL,DNA2,DNAJA3,GEN1,CIZ1,FANCM,INO80,RAD51,DBF4B,FBXO5,DDX11,ATRX,TERF1,WRN,CDC7,OOEP,ETAA1,DDX23,RECQL4,POLE2,CDC45,EXD2,POLA1,PRIM2,BLM,MCM3,EME1	12.9911895269667	GOBP_DNA_DEPENDENT_DNA_REPLICATION
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	1.40782891235145e-13	2.14833467036967e-11	0.943632225232838	0.573348260050002	2.41678657390807	145	PLK2,PAX6,KIF23,STIL,TUBG1,TPX2,WDR62,TTK,GPSM2,ZNF207,TPR,CKAP5,SETD2,PCNT,LSM14A,MAD2L1,CHMP4C,EML1,NEK2,MYBL2,PRC1,CLTC,KIF3B,NUF2,DYNC1H1,PDCD6IP,CEP192,VPS4B,TACC2,MAP9,CEP97,SBDS,SMC3,SMC1A,SPICE1,NUSAP1,KPNB1,SAPCD2,FBXW11,CHMP2B,KIF4A,GOLGA2,KIF4B,CENPE,CLASP2,KIF2A,MAP10,MZT1,AURKA,KIF11,STAG2,KIF15,DLGAP5,KIFC2,SPAST,CDC20,ESPL1,PLK1,CCSAP,STAG1,SPDL1,HNRNPU,TUBG2,ZW10,TBCE,NDEL1,CENPH,NDC80,HTT,CLASP1	12.8514501200066	GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS
GOCC_CHROMOSOME_CENTROMERIC_REGION	2.61998337057927e-13	3.78774738718032e-11	0.932595211336209	0.522139903816196	2.27326065789373	194	AHCTF1,SMC5,CLIP1,CENPU,TTK,TP53BP1,KAT7,INCENP,ZNF207,CENPL,TPR,DNMT1,NCAPD3,KANSL1,PDS5A,SMC4,DYNC1LI2,CENPN,CKAP5,CDCA8,RAD21,SKA1,MAD2L1,FBXO28,SKA3,KNTC1,CHMP4C,NEK2,ESCO2,UVRAG,NUP98,BOD1L1,NUF2,APC,CENPF,ZWILCH,BUB1B,NUP160,CHAMP1,CENPC,FMR1,BUB1,SMC3,SUV39H2,SMC1A,FBXW11,CHMP2B,KIF18A,EZH2,CENPE,CLASP2,CBX1,MIS18BP1,CDCA5,SPAG5,CENPI,TOP2A,HJURP,NUP133,MTBP,DSCC1,HELLS,CENPK,NCAPD2,NUP107,STAG2,PHF2,MEAF6,ERCC6L,KIF2C,PLK1,STAG1,SMC1B,SPDL1,PPP1R12A,ZWINT,HNRNPU,ZW10,SMC6,NDEL1,CENPH,ATRX,DYNC1I1,KNSTRN,NDC80,PPP2R5A,CLASP1	12.5817014652026	GOCC_CHROMOSOME_CENTROMERIC_REGION
